2025-06-11 16:16:24 2025-06-11 13:16:24,723 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [4] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,729 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTrans] finished in [11] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,732 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,734 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [1] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,735 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [3] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,739 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,741 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,742 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgPrefPermissionCheck] finished in [4] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,748 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/getPartyAccountingPreferences] finished in [9] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,751 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTransEntry] finished in [20] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,754 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,757 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,761 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [8] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,766 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,769 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,771 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgPrefPermissionCheck] finished in [5] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,776 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/getPartyAccountingPreferences] finished in [11] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,779 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTransEntry] finished in [27] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,781 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/copyAcctgTransAndEntries] finished in [65] milliseconds
